fiscalDateEnding,totalRevenue,netIncome,ticker
2024-09-30,5312000000.0,397000000,MELI
2024-06-30,5073000000.0,531000000,MELI
2024-03-31,4333000000.0,344000000,MELI
2023-12-31,4409000000.0,165000000,MELI
2023-09-30,3927000000.0,359000000,MELI
2023-06-30,3585000000.0,262000000,MELI
2023-03-31,3186000000.0,201000000,MELI
2022-12-31,3002000000.0,165000000,MELI
2022-09-30,2690000000.0,129000000,MELI
2022-06-30,2234000000.0,123000000,MELI
2022-03-31,2243000000.0,65000000,MELI
2021-12-31,2130766000.0,-46000000,MELI
2021-09-30,1832093000.0,95000000,MELI
2021-06-30,1690846000.0,68000000,MELI
2021-03-31,1362515000.0,-34000000,MELI
2020-12-31,1327304000.0,-51000000,MELI
2020-09-30,1085266000.0,15000000,MELI
2020-06-30,876466000.0,56000000,MELI
2020-03-31,651397000.0,-21000000,MELI
2019-12-31,674271000.0,-53998000,MELI
2024-09-30,5215000000.0,564000000,FI
2024-06-30,5107000000.0,894000000,FI
2024-03-31,4883000000.0,735000000,FI
2023-12-31,4917000000.0,870000000,FI
2023-09-30,4873000000.0,952000000,FI
2023-06-30,4756000000.0,683000000,FI
2023-03-31,4547000000.0,563000000,FI
2022-12-31,4631000000.0,782000000,FI
2022-09-30,4518000000.0,481000000,FI
2022-06-30,4450000000.0,598000000,FI
2022-03-31,4138000000.0,669000000,FI
2021-12-31,4780000000.0,333000000,FI
2021-09-30,3991000000.0,428000000,FI
2021-06-30,3876000000.0,269000000,FI
2021-03-31,3650000000.0,304000000,FI
2020-12-31,3834000000.0,300000000,FI
2020-09-30,3669000000.0,264000000,FI
2020-06-30,3312000000.0,2000000,FI
2020-03-31,4037000000.0,392000000,FI
2019-12-31,4050000000.0,247000000,FI
2024-09-30,2797000000.0,432000000,NOW
2024-06-30,2627000000.0,262000000,NOW
2024-03-31,2603000000.0,347000000,NOW
2023-12-31,2437000000.0,295000000,NOW
2023-09-30,2288000000.0,242000000,NOW
2023-06-30,2150000000.0,1044000000,NOW
2023-03-31,2096000000.0,150000000,NOW
2022-12-31,1940000000.0,150000000,NOW
2022-09-30,1831000000.0,80000000,NOW
2022-06-30,1752000000.0,20000000,NOW
2022-03-31,1722000000.0,75000000,NOW
2021-12-31,1614000000.0,26000000,NOW
2021-09-30,1512000000.0,63000000,NOW
2021-06-30,1409000000.0,59000000,NOW
2021-03-31,1360000000.0,82000000,NOW
2020-12-31,1250000000.0,17145000,NOW
2020-09-30,1152000000.0,12858000,NOW
2020-06-30,1071000000.0,41000000,NOW
2020-03-31,1046000000.0,48000000,NOW
2019-12-31,951337000.0,599026000,NOW
2024-09-30,6819000000.0,771000000,AMD
