fiscalDateEnding,totalRevenue,netIncome,ticker
2024-07-31,102115000.0,-18012000,PHR
2024-04-30,101217000.0,-19722000,PHR
2024-01-31,95005000.0,-30646000,PHR
2023-10-31,91619000.0,-31941000,PHR
2023-07-31,85830000.0,-36767000,PHR
2023-04-30,83845000.0,-37531000,PHR
2023-01-31,76586000.0,-38021000,PHR
2022-10-31,73103000.0,-40167000,PHR
2022-07-31,67867000.0,-46716000,PHR
2022-04-30,63354000.0,-51242000,PHR
2022-01-31,58020000.0,-46451000,PHR
2021-10-31,55915000.0,-36343000,PHR
2021-07-31,51007000.0,-24393000,PHR
2021-04-30,48291000.0,-10974000,PHR
2021-01-31,41808000.0,-8096000,PHR
2020-10-31,38464000.0,-6713000,PHR
2020-07-31,35009000.0,-6371000,PHR
2020-04-30,33396000.0,-6112000,PHR
2020-01-31,32815000.0,-3668000,PHR
2019-10-31,32843000.0,-2437000,PHR
2024-06-30,60637000.0,-738000,SMWB
2024-03-31,58982000.0,-2733000,SMWB
2023-12-31,56755000.0,-3408000,SMWB
2023-09-30,54833000.0,-4838000,SMWB
2023-06-30,53681000.0,-9293000,SMWB
2023-03-31,52750000.0,-11834000,SMWB
2022-12-31,51346000.0,-14998000,SMWB
2022-09-30,50022000.0,-20993000,SMWB
2022-06-30,47586000.0,-22061000,SMWB
2022-03-31,44280000.0,-25609000,SMWB
2021-12-31,40151000.0,-23810000,SMWB
2021-09-30,35597000.0,-17334000,SMWB
2021-06-30,32507000.0,-15721000,SMWB
2021-03-31,29413000.0,-12114000,SMWB
2020-12-31,26637000.0,-7158000,SMWB
2020-09-30,24358000.0,-5153000,SMWB
2020-06-30,21890000.0,-3475000,SMWB
2020-03-31,20601000.0,-6210000,SMWB
2024-06-30,129442000.0,33945000,OWL
2024-03-31,120161000.0,25091000,OWL
2023-12-31,459466000.0,18058000,OWL
2023-09-30,415664000.0,15109000,OWL
2023-06-30,91938000.0,12859000,OWL
2023-03-31,85864000.0,8317000,OWL
2022-12-31,382714000.0,1592000,OWL
2022-09-30,355959000.0,2060000,OWL
2022-06-30,312195000.0,-1126000,OWL
2022-03-31,263143000.0,-11815000,OWL
2021-12-31,277540000.0,82000,OWL
2021-09-30,241763000.0,-53323000,OWL
2021-06-30,157298000.0,-362344000,OWL
2021-03-31,102366000.0,39414000,OWL
2020-12-31,100197000.0,-49706000,OWL
2020-09-30,47916000.0,-8622000,OWL
2020-06-30,40498000.0,-12443000,OWL
2024-06-30,3907604000.0,289152000,UHS
2024-03-31,3790756000.0,261834000,UHS
2023-12-31,3649957000.0,216378000,UHS
2023-09-30,3509396000.0,166989000,UHS
2023-06-30,3499307000.0,171313000,UHS
2023-03-31,3416642000.0,163115000,UHS
2022-12-31,3403093000.0,174820000,UHS
2022-09-30,3300374000.0,182814000,UHS
2022-06-30,3297731000.0,164062000,UHS
2022-03-31,3271283000.0,153913000,UHS
2021-12-31,3263034000.0,239124000,UHS
2021-09-30,3134800000.0,218351000,UHS
2021-06-30,3176581000.0,325024000,UHS
2021-03-31,2991030000.0,209091000,UHS
2020-12-31,3086935000.0,308708000,UHS
2020-09-30,2887966000.0,241279000,UHS
2020-06-30,2704281000.0,251929000,UHS
2020-03-31,2793316000.0,142037000,UHS
2019-12-31,2896247000.0,245176000,UHS
2019-09-30,2781006000.0,97190000,UHS
2024-06-30,41260000.0,9234000,HTBK
2024-03-31,41956000.0,10166000,HTBK
2023-12-31,43954000.0,13328000,HTBK
2023-09-30,47420000.0,15795000,HTBK
2023-06-30,48107000.0,16403000,HTBK
2023-03-31,51992000.0,18917000,HTBK
2022-12-31,54003000.0,20799000,HTBK
2022-09-30,49816000.0,18069000,HTBK
2022-06-30,44158000.0,14821000,HTBK
2022-03-31,41248000.0,12866000,HTBK
2021-12-31,41534000.0,13965000,HTBK
2021-09-30,41104000.0,13718000,HTBK
2021-06-30,37538000.0,8813000,HTBK
2021-03-31,38771000.0,11204000,HTBK
2020-12-31,37609000.0,11623000,HTBK
2020-09-30,36563000.0,11197000,HTBK
2020-06-30,35904000.0,10618000,HTBK
2020-03-31,28503000.0,1861000,HTBK
2019-12-31,38399000.0,5685000,HTBK
2019-09-30,33819000.0,11277000,HTBK
2024-06-30,172890000.0,-13060000,QTWO
2024-03-31,165508000.0,-13843000,QTWO
2023-12-31,162118000.0,-18079000,QTWO
2023-09-30,154967000.0,-23167000,QTWO
2023-06-30,154531000.0,-23622000,QTWO
2023-03-31,153008000.0,-516000,QTWO
2022-12-31,146542000.0,-32411000,QTWO
2022-09-30,144751000.0,-27791000,QTWO
2022-06-30,140309000.0,-25222000,QTWO
2022-03-31,134071000.0,-23559000,QTWO
2021-12-31,131891000.0,-25381000,QTWO
2021-09-30,126736000.0,-31583000,QTWO
2021-06-30,123573000.0,-30127000,QTWO
2021-03-31,116520000.0,-25655000,QTWO
2020-12-31,108986000.0,-37821000,QTWO
2020-09-30,103804000.0,-26720000,QTWO
2020-06-30,97581000.0,-38971000,QTWO
2020-03-31,92380000.0,-34108000,QTWO
2019-12-31,86840000.0,-15666000,QTWO
2019-09-30,79702000.0,-18569000,QTWO
2024-06-30,768415000.0,62100000,IESC
2024-03-31,705733000.0,52909000,IESC
2023-12-31,634444000.0,40956000,IESC
2023-09-30,649021000.0,37789000,IESC
2023-06-30,584451000.0,22546000,IESC
2023-03-31,568881000.0,21551000,IESC
2022-12-31,574874000.0,26402000,IESC
2022-09-30,617405000.0,16245000,IESC
2022-06-30,567301000.0,9465000,IESC
2022-03-31,501593000.0,-5412000,IESC
2021-12-31,480509000.0,14464000,IESC
2021-09-30,483823000.0,22423000,IESC
2021-06-30,405871000.0,19301000,IESC
2021-03-31,331961000.0,12836000,IESC
2020-12-31,314838000.0,12098000,IESC
2020-09-30,330411000.0,14606000,IESC
2020-06-30,293125000.0,12260000,IESC
2020-03-31,291277000.0,6231000,IESC
2019-12-31,276043000.0,8502000,IESC
2019-09-30,293607000.0,9861000,IESC
2024-06-30,87002000.0,8920000,CSTL
2024-03-31,72960000.0,-2534000,CSTL
2023-12-31,66118000.0,-2580000,CSTL
2023-09-30,61491000.0,-6905000,CSTL
2023-06-30,50135000.0,-18777000,CSTL
2023-03-31,42033000.0,-29204000,CSTL
2022-12-31,38334000.0,-20618000,CSTL
2022-09-30,37005000.0,-20249000,CSTL
2022-06-30,34834000.0,-1648000,CSTL
2022-03-31,26849000.0,-24623000,CSTL
2021-12-31,25038000.0,-6430000,CSTL
2021-09-30,23475000.0,-11791000,CSTL
2021-06-30,22758000.0,-8791000,CSTL
2021-03-31,22813000.0,-4280000,CSTL
2020-12-31,15899000.0,-4889000,CSTL
2020-09-30,15217000.0,-4589000,CSTL
2020-06-30,12715000.0,-1376000,CSTL
2020-03-31,17418000.0,570000,CSTL
2019-12-31,17635000.0,2055000,CSTL
2019-09-30,18900192.0,5849000,CSTL
2024-06-30,168745000.0,5690000,PNTG
2024-03-31,155878000.0,4906000,PNTG
2023-12-31,144385000.0,4349000,PNTG
2023-09-30,138696000.0,4383000,PNTG
2023-06-30,130828000.0,2797000,PNTG
2023-03-31,125058000.0,1850000,PNTG
2022-12-31,123357000.0,3474000,PNTG
2022-09-30,117292000.0,4831000,PNTG
2022-06-30,115495000.0,-2676000,PNTG
2022-03-31,113281000.0,1014000,PNTG
2021-12-31,111168000.0,-2149000,PNTG
2021-09-30,111409000.0,1245000,PNTG
2021-06-30,109873000.0,2650000,PNTG
2021-03-31,105303000.0,950000,PNTG
2020-12-31,107624000.0,4020000,PNTG
2020-09-30,98499000.0,4407000,PNTG
2020-06-30,92734000.0,4337000,PNTG
2020-03-31,91767000.0,2980000,PNTG
2019-12-31,89414000.0,-3799000,PNTG
2019-09-30,88398000.0,1524000,PNTG
2024-06-30,102591000.0,27964000,CAMT
2024-03-31,97010000.0,24799000,CAMT
2023-12-31,88690000.0,20790000,CAMT
2023-09-30,80470000.0,22058000,CAMT
2023-06-30,73758000.0,18539000,CAMT
2023-03-31,72457000.0,17245000,CAMT
2022-12-31,82175000.0,21673000,CAMT
2022-09-30,81990000.0,20715000,CAMT
2022-06-30,79578000.0,19183000,CAMT
2022-03-31,77166000.0,18378000,CAMT
2021-12-31,74171000.0,12760000,CAMT
2021-09-30,70686000.0,18505000,CAMT
2021-06-30,67450000.0,15652000,CAMT
2021-03-31,57352000.0,13360000,CAMT
2020-12-31,48619000.0,7666000,CAMT
2020-09-30,40061000.0,6024000,CAMT
2020-06-30,37000000.0,5308000,CAMT
2020-03-31,30179000.0,2780000,CAMT
