fiscalDateEnding,totalRevenue,netIncome,ticker
30/06/2024,5092000000,2000000,CLF
31/03/2024,5199000000,-67000000,CLF
31/12/2023,5112000000,-155000000,CLF
30/09/2023,5605000000,264000000,CLF
30/06/2023,5984000000,347000000,CLF
31/03/2023,5295000000,-57000000,CLF
31/12/2022,5044000000,-214000000,CLF
30/09/2022,5653000000,152000000,CLF
30/06/2022,6337000000,596000000,CLF
31/03/2022,5955000000,801000000,CLF
31/12/2021,5346000000,893000000,CLF
30/09/2021,6004000000,1274000000,CLF
30/06/2021,5045000000,780000000,CLF
31/03/2021,4049000000,41000000,CLF
31/12/2020,2256000000,64000000,CLF
30/09/2020,1646000000,-10000000,CLF
30/06/2020,1093000000,-124000000,CLF
31/03/2020,359000000,-52000000,CLF
31/12/2019,534100000,63400000,CLF
30/09/2019,555600000,90900000,CLF
30/06/2024,10350000000,-9986000000,WBD
31/03/2024,9274000000,-966000000,WBD
31/12/2023,7856000000,-400000000,WBD
30/09/2023,9979000000,-417000000,WBD
30/06/2023,10358000000,-1240000000,WBD
31/03/2023,10700000000,-1069000000,WBD
31/12/2022,12028000000,-2101000000,WBD
30/09/2022,9823000000,-2308000000,WBD
30/06/2022,9827000000,-3418000000,WBD
31/03/2022,3159000000,456000000,WBD
31/12/2021,3783000000,38000000,WBD
30/09/2021,3150000000,156000000,WBD
30/06/2021,3062000000,672000000,WBD
31/03/2021,2792000000,140000000,WBD
31/12/2020,3189000000,271000000,WBD
30/09/2020,2561000000,300000000,WBD
30/06/2020,2541000000,271000000,WBD
31/03/2020,2683000000,377000000,WBD
31/12/2019,2874000000,476000000,WBD
30/09/2019,2678000000,262000000,WBD
31/05/2024,5748000000,92000000,CCL
29/02/2024,4902000000,-214000000,CCL
30/11/2023,4931000000,-48000000,CCL
31/08/2023,6255000000,1074000000,CCL
31/05/2023,4338000000,-407000000,CCL
28/02/2023,3893000000,-693000000,CCL
30/11/2022,3390000000,-1598000000,CCL
31/08/2022,3883000000,-770000000,CCL
31/05/2022,2031000000,-1834000000,CCL
28/02/2022,1255000000,-1891000000,CCL
30/11/2021,643000000,-2620000000,CCL
31/08/2021,546000000,-2836000000,CCL
31/05/2021,49000000,-2072000000,CCL
28/02/2021,26000000,-1973000000,CCL
30/11/2020,33000000,-2222000000,CCL
31/08/2020,31000000,-2858000000,CCL
31/05/2020,558000000,-4374000000,CCL
29/02/2020,4734000000,-781000000,CCL
30/11/2019,4733000000,423000000,CCL
31/05/2024,5781000000,92000000,CUK
29/02/2024,5406000000,-214000000,CUK
30/11/2023,5396000000,-48000000,CUK
31/08/2023,6854000000,1074000000,CUK
31/05/2023,4911000000,-407000000,CUK
28/02/2023,4433000000,-693000000,CUK
30/11/2022,3839000000,-1598000000,CUK
31/08/2022,4306000000,-770000000,CUK
31/05/2022,2401000000,-1834000000,CUK
28/02/2022,1623000000,-1891000000,CUK
30/11/2021,1287000000,-2620000000,CUK
31/08/2021,546000000,-2836000000,CUK
31/05/2021,49000000,-2072000000,CUK
28/02/2021,26000000,-1973000000,CUK
30/11/2020,33000000,-2222000000,CUK
31/08/2020,31000000,-2858000000,CUK
31/05/2020,740000000,-4374000000,CUK
29/02/2020,4790000000,-781000000,CUK
30/11/2019,4782000000,423000000,CUK
30/06/2024,10700000000,1015000000,UBER
31/03/2024,10131000000,-654000000,UBER
31/12/2023,9936000000,1429000000,UBER
30/09/2023,9292000000,221000000,UBER
30/06/2023,9230000000,394000000,UBER
31/03/2023,8823000000,-157000000,UBER
31/12/2022,8607000000,595000000,UBER
30/09/2022,8343000000,-1206000000,UBER
30/06/2022,8073000000,-2601000000,UBER
31/03/2022,6854000000,-5930000000,UBER
31/12/2021,5778000000,892000000,UBER
30/09/2021,4845000000,-2424000000,UBER
30/06/2021,3929000000,1144000000,UBER
31/03/2021,2903000000,-108000000,UBER
31/12/2020,3165000000,-969000000,UBER
30/09/2020,2813000000,-1089000000,UBER
30/06/2020,1913000000,-1775000000,UBER
31/03/2020,3248000000,-2936000000,UBER
31/12/2019,2922000000,-1096000000,UBER
