Ticker,Oldest Date,Oldest Revenue,Newest Date,Newest Revenue,%Change Revenue,Revenue Slope,Revenue R²,Revenue-Income Correlation,Correlation-Adjusted R²,dividendYield,targetMeanPrice,trailingPE,pegRatio,trailingPegRatio,exDividendDate
FN,2019-09-30,399296000.0,2024-06-30,753261000.0,0.8864726919378105,218155.63697047794,0.9728677785110452,0.9910246293864544,0.9641359296409319,,264.33,29.944515,2.62,,-
FTNT,2019-12-31,609700000.0,2024-06-30,1434300000.0,1.3524684270952927,576549.176446068,0.9754991677059179,0.9564400746342356,0.9330064967662829,,73.79,46.159763,2.47,1.6357,-
ANET,2019-12-31,552546000.0,2024-06-30,1690400000.0,2.059292800961368,776646.9531380994,0.9591898950437336,0.972352824854164,0.9326710040173435,,362.33,51.29145,2.43,2.2431,-
CMG,2019-12-31,1440224000.0,2024-06-30,2973117000.0,1.0643434632390516,887321.7092781741,0.9688423981188994,0.9587681608942195,0.9288952442408024,,62.78,55.990196,2.46,2.7038,-
MSFT,2018-12-31,31796000000.0,2024-06-30,64727000000.0,1.0356963140017612,17009026.597605553,0.9707778039654078,0.9366025112818755,0.9092329290907052,0.008,496.38,35.19966,2.18,2.2487,2024-11-21
KSPI,2019-09-30,136296000000.0,2024-06-30,592853000000.0,3.34974614075248,281361333.24857306,0.9217837981568945,0.9845670805976291,0.9075579830935278,0.0708,69609.6,10.525424,,,2024-08-22
NMIH,2019-09-30,101588000.0,2024-06-30,162122000.0,0.5958774658424223,33182.76700238964,0.97279420780842,0.9193481504736757,0.8943365557401755,,42.86,9.756501,0.92,,-
ESQ,2019-09-30,11797000.0,2024-06-30,30597000.0,1.593625498007968,13162.500250918249,0.9114748392368133,0.9749430159438573,0.8886360287224813,0.0098,71.33,12.787057,,,2024-08-15
MPWR,2019-12-31,166738000.0,2024-06-30,507431000.0,2.04328347467284,217293.04499535228,0.8817887918972694,0.96619075091395,0.8519761749907275,0.0053,980.87,111.11758,2.64,2.1313,2024-09-30
NVO,2019-09-30,30277000000.0,2024-06-30,68060000000.0,1.2479109555107837,22721022.66913609,0.8902400030833647,0.9425087715352835,0.839059011677669,0.0126,142.62,38.760944,81.98,1.7494,2024-08-16
GOOGL,2018-12-31,39276000000.0,2024-06-30,84742000000.0,1.1576026071901415,26159931.2803666,0.926648999892396,0.9049302710427116,0.8385527306340835,0.0047999998,201.57,23.968437,1.06,1.1261,2024-09-09
TSM,2019-09-30,293030000000.0,2024-06-30,673510000000.0,1.2984336074804628,216195499.6640003,0.8679885708106316,0.9601154715033178,0.8333692559233405,0.0136,200.25,31.950617,1.27,1.2334,2024-12-12
NFLX,2018-12-31,4186841000.0,2024-06-30,9559310000.0,1.2831796096388661,2431539.9159962605,0.962367448187384,0.8574216362316871,0.8251546720809401,,701.23,45.037548,1.43,1.5719,-
MA,2018-12-31,3807000000.0,2024-06-30,6961000000.0,0.8284738639348569,1613078.65809666,0.8639255533570219,0.9293323164194831,0.8028739357152649,0.0053,520.7,38.02139,2.1,1.8083,2024-10-09
EME,2019-09-30,2287741000.0,2024-06-30,3666897000.0,0.6028462137978031,821312.8700520942,0.8860909994521972,0.9048510199171307,0.8017803445937103,0.0023,415.0,24.94266,22.07,,2024-10-15
META,2018-12-31,16692000000.0,2024-06-30,39071000000.0,1.3407021327582076,11318528.623458069,0.8774731194462327,0.8321157549484767,0.7301592072349968,0.0034,582.88,30.482866,2.01,1.0507,2024-09-16
NVDA,2019-01-27,2205000000.0,2024-07-31,30040000000.0,12.62358276643991,10933108.564766899,0.7206923995727222,0.9877936129210093,0.7118953491786509,0.00029999999,148.13,58.37383,0.82,0.9932,2024-09-12
DHI,2019-09-30,5038900000.0,2024-06-30,9965700000.0,0.9777530810295898,3049259.70658917,0.7760868957724807,0.9073339456665149,0.7041699853213222,0.0064999997,189.21,12.425303,1.69,0.6126,2024-08-01
IBKR,2018-12-31,634000000.0,2024-06-30,2302000000.0,2.630914826498423,862368.134191018,0.7174782678500892,0.9561451619647297,0.6860133746196971,0.0068,152.33,23.431063,1.68,10.8402,2024-08-30
CRWD,2019-01-31,80455000.0,2024-07-31,963872000.0,10.98026225840532,455868.76730557485,0.9712184052200318,0.6705813328175082,0.6512809326293437,,325.14,417.48572,3.72,0.1728,-
IBN,2019-09-30,260901000000.0,2024-06-30,461484000000.0,0.7688088585325469,97068892.94826882,0.7652347480671818,0.8157191870534436,0.6242166665984082,0.0081,34.65,19.476822,0.94,,2024-08-12
PANW,2019-10-31,753400000.0,2024-07-31,2189500000.0,1.9061587470135386,844635.5012446452,0.982369467828951,0.5990597918524148,0.5884980489197789,,380.57,46.962963,3.52,2.4875,-
BBAR,2019-09-30,33917000000.0,2024-06-30,808972000000.0,22.85151988678244,535173711.0528066,0.6760657991685807,0.8614399719513394,0.582390103073042,0.1535,12.97,17.123077,0.18,,2024-08-02
NU,2020-03-31,121100000.0,2024-06-30,2084972000.0,16.216944673823285,1437452.7299950821,0.8885818549698514,0.6416962463611817,0.5701996409188096,,14.4,42.677418,0.57,,-
COST,2019-11-24,37040000000.0,2024-05-31,58515000000.0,0.5797786177105831,16941888.15623649,0.526353878720496,0.9757602756332374,0.5135952057809348,0.0053,927.63,53.199394,4.75,5.486,2024-07-26
CAT,2019-09-30,12758000000.0,2024-06-30,16689000000.0,0.3081203950462455,3929952.1958447937,0.7609789814436545,0.6474733281736145,0.4927135937854902,,343.45,18.098906,,3.0643,-
AXP,2019-09-30,11866000000.0,2024-06-30,16333000000.0,0.3764537333558065,3895575.4083611662,0.718307399915728,0.6713767330468116,0.48225487547877105,0.0101,259.79,20.579418,1.31,2.0867,2024-10-04
KO,2018-12-31,7806000000.0,2024-06-30,12363000000.0,0.5837817063797079,1916183.537726067,0.6994457822054201,0.6196090754677611,0.4333829544521253,0.0276,72.8,28.52439,4.06,2.8853,2024-09-13
COP,2019-12-31,8140000000.0,2024-06-30,13620000000.0,0.6732186732186732,6965011.762834952,0.4387205004061746,0.9309932779516337,0.4084458367777255,0.0272,134.05,12.755012,2.7,8.535,2024-08-12
AMZN,2018-12-31,72383000000.0,2024-06-30,147977000000.0,1.0443612450437256,46619889.25123345,0.8697893646978307,0.45621610833788984,0.39681191903612995,,219.26,44.407143,1.21,1.7715,-
HD,2019-11-03,27223000000.0,2024-07-31,43175000000.0,0.5859750945891342,5991555.552541693,0.41653534871572223,0.9300266254427946,0.3873889647437208,0.022,388.95,27.480484,7.31,2.3878,2024-08-29
