Politician,Issuer,Ticker,Trade Type,Published Date,Trade Date,Filed After (Days),Owner,Price,Trade Size
Greg Landsman,Adobe Inc,ADBE,sell,2024-09-24,2024-08-14,40,Spouse,539.79,15K-50K
Greg Landsman,Amazon.com Inc,AMZN,sell,2024-09-24,2024-08-21,33,Joint,180.11,15K-50K
Greg Landsman,Arista Networks Inc,ANET,buy,2024-09-24,2024-08-14,40,Spouse,348.65,1K-15K
Greg Landsman,Arista Networks Inc,ANET,buy,2024-09-24,2024-08-21,33,Joint,355.89,15K-50K
Greg Landsman,Ulta Beauty Inc,ULTA,sell,2024-09-24,2024-08-14,40,Spouse,329.05,1K-15K
Jonathan Jackson,Lam Research Corp,LRCX,sell,2024-09-23,2024-08-26,25,Joint,818.91,15K-50K
Jonathan Jackson,Simon Property Group Inc,SPG,buy,2024-09-23,2024-08-26,25,Joint,167.36,15K-50K
Thomas Kean Jr,Fortive Corp,FTV,buy,2024-09-23,2024-08-02,49,Undisclosed,68.44,1K-15K
Marjorie Taylor Greene,Alphabet Inc,GOOGL,buy,2024-09-23,2024-09-20,3,Undisclosed,164.64,1K-15K
Marjorie Taylor Greene,Berkshire Hathaway Inc,BRK/B,buy,2024-09-23,2024-09-20,3,Undisclosed,455.31,1K-15K
Marjorie Taylor Greene,Blackstone Group Inc,BX,buy,2024-09-23,2024-09-20,3,Undisclosed,158.12,1K-15K
Marjorie Taylor Greene,Cardinal Health Inc,CAH,buy,2024-09-23,2024-09-20,3,Undisclosed,111.84,1K-15K
Marjorie Taylor Greene,CrowdStrike Holdings Inc,CRWD,buy,2024-09-23,2024-09-20,3,Undisclosed,299.85,1K-15K
Marjorie Taylor Greene,Intel Corp,INTC,buy,2024-09-23,2024-09-20,3,Undisclosed,21.84,1K-15K
Marjorie Taylor Greene,Lam Research Corp,LRCX,buy,2024-09-23,2024-09-20,3,Undisclosed,773.19,1K-15K
Marjorie Taylor Greene,Microsoft Corp,MSFT,buy,2024-09-23,2024-09-20,3,Undisclosed,435.27,1K-15K
Marjorie Taylor Greene,Southern Copper Corp,SCCO,buy,2024-09-23,2024-09-20,3,Undisclosed,103.6,1K-15K
Marjorie Taylor Greene,United Parcel Service Inc,UPS,buy,2024-09-23,2024-09-20,3,Undisclosed,128.6,1K-15K
Rick Allen,DEERE & COMPANY,DE,sell,2024-09-23,2024-08-14,37,Spouse,351.28,1K-15K
Rick Allen,US TREASURY BILLS,N/A,sell,2024-09-23,2024-08-26,25,Undisclosed,,50K-100K
Markwayne Mullin,Edwards Lifesciences Corp,EW,sell,2024-09-20,2024-08-20,30,Joint,69.38,15K-50K
Markwayne Mullin,Iqvia Holdings Inc,IQV,buy,2024-09-20,2024-08-20,30,Joint,246.94,15K-50K
Markwayne Mullin,Starbucks Corp,SBUX,sell,2024-09-20,2024-08-20,30,Joint,93.01,15K-50K
Markwayne Mullin,The TJX Companies Inc,TJX,buy,2024-09-20,2024-08-20,30,Joint,113.31,15K-50K
John Hickenlooper,Liberty Media Corp Braves Group,BATRA,sell,2024-09-19,2024-08-30,20,Spouse,42.88,50K-100K
John Hickenlooper,Liberty Media Corp Braves Group,BATRA,sell,2024-09-19,2024-08-28,22,Spouse,43.97,250K-500K
John Hickenlooper,Liberty Media Corp Braves Group,BATRA,buy,2024-09-19,2024-08-28,22,Spouse,43.97,100K-250K
Michael McCaul,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX,buy,2024-09-18,2024-08-27,20,Spouse,,1M-5M
Michael McCaul,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX,buy,2024-09-18,2024-08-29,18,Spouse,,250K-500K
Michael McCaul,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX,buy,2024-09-18,2024-08-09,38,Spouse,,250K-500K
Michael McCaul,VANGUARD FEDERAL MONEY MARKET FUND,VMFXX,buy,2024-09-18,2024-08-27,20,Spouse,,250K-500K
Michael McCaul,COUNTY OF MIAMI DADE,N/A,buy,2024-09-18,2024-08-13,34,Spouse,,100K-250K
Michael McCaul,BOARD OF PUBLIC BUILDINGS OF STATE OF MISSOURI,N/A,buy,2024-09-18,2024-08-19,28,Spouse,,100K-250K
Michael McCaul,CITY OF WILMINGTON DELEWARE,N/A,buy,2024-09-18,2024-08-21,26,Spouse,,100K-250K
Michael McCaul,London Stock Exchange Group PLC,LDNXF,buy,2024-09-18,2024-08-21,26,Spouse,131.17,100K-250K
Michael McCaul,STATE OF TEXAS,N/A,buy,2024-09-18,2024-08-19,28,Spouse,,100K-250K
Michael McCaul,CHARLESTON COUNTY SCHOOL DISTRICT SOUTH CAROLINA,N/A,buy,2024-09-18,2024-08-28,19,Spouse,,100K-250K
Michael McCaul,MAINE MUNICIPAL BOND BANK,N/A,buy,2024-09-18,2024-08-06,41,Spouse,,100K-250K
