Ticker,Oldest Revenue Year,Oldest Revenue,Most Recent Revenue Year,Most Recent Revenue,Percent Change
TLK,2020,136447000000000.0,2023,149216000000000.0,9.36%
EC,2020,50223393000000.0,2023,143189602000000.0,185.11%
KEP,2020,57926634000000.0,2023,87476410000000.0,51.01%
VFS,2020,13690348000000.0,2023,28712051000000.0,109.72%
CIB,2020,15717758000000.0,2023,28509558000000.0,81.38%
LPL,2020,24261561000000.0,2023,21330819000000.0,-12.08%
EXTO,2020,15735839000000.0,2023,21122087000000.0,34.23%
SKM,2020,16087747000000.0,2023,17608511000000.0,9.45%
AVAL,2020,15411076000000.0,2023,15803734000000.0,2.55%
ENIC,2020,2548384317000.0,2023,4262591097000.0,67.27%
TAK,2021,3197812000000.0,2023,4027478000000.0,25.94%
BCH,2020,1927108000000.0,2023,2972260000000.0,54.23%
CCU,2020,1857593678000.0,2023,2565556067000.0,38.11%
TEO,2020,886765000000.0,2023,2059101000000.0,132.20%
BSAC,2020,2037332000000.0,2023,1910841000000.0,-6.21%
JD,2020,745802000000.0,2023,1084662000000.0,45.44%
BABA,2021,717289000000.0,2023,868687000000.0,21.11%
CVS,2020,268706000000.0,2023,357776000000.0,33.15%
SSL,2020,190367000000.0,2023,289696000000.0,52.18%
ERIC,2020,232390000000.0,2023,263351000000.0,13.32%
BP,2020,105944000000.0,2023,210130000000.0,98.34%
ITUB,2020,100025000000.0,2023,148380000000.0,48.34%
WBA,2020,121982000000.0,2023,139081000000.0,14.02%
BIDU,2020,107074000000.0,2023,134598000000.0,25.71%
VZ,2020,128292000000.0,2023,133974000000.0,4.43%
UGP,2020,74058056000.0,2023,126048701000.0,70.20%
LI,2020,9456609000.0,2023,123851332000.0,1209.68%
T,2020,171760000000.0,2023,122428000000.0,-28.72%
CMCSA,2020,103564000000.0,2023,121572000000.0,17.39%
JKS,2020,35129459000.0,2023,118678591000.0,237.83%
SBSW,2020,127392000000.0,2023,113684000000.0,-10.76%
BBDO,2020,82368591000.0,2023,100274212000.0,21.74%
BBD,2020,82368591000.0,2023,100274212000.0,21.74%
DIS,2020,65388000000.0,2023,88898000000.0,35.95%
ABEV,2020,58379000000.0,2023,79736900000.0,36.58%
C,2020,75494000000.0,2023,78486000000.0,3.96%
RNW,2021,48187000000.0,2023,78223000000.0,62.33%
BA,2020,58158000000.0,2023,77794000000.0,33.76%
BEKE,2020,70480978000.0,2023,77776932000.0,10.35%
SYY,2021,51297843000.0,2023,76325000000.0,48.79%
TV,2020,70680227000.0,2023,73767930000.0,4.37%
BAK,2020,58543494000.0,2023,70569000000.0,20.54%
ASAI,2020,36043000000.0,2023,66503000000.0,84.51%
BUD,2020,46881000000.0,2023,59380000000.0,26.66%
PFE,2020,41651000000.0,2023,58496000000.0,40.44%
DAL,2020,17095000000.0,2023,58048000000.0,239.56%
CSCO,2021,49818000000.0,2023,56998000000.0,14.41%
BBU,2020,37635000000.0,2023,55068000000.0,46.32%
CHTR,2020,48097000000.0,2023,54607000000.0,13.54%
INTC,2020,77867000000.0,2023,54228000000.0,-30.36%
UAL,2020,15355000000.0,2023,53717000000.0,249.83%
BRFS,2020,39469700000.0,2023,53615440000.0,35.84%
TSN,2020,43185000000.0,2023,52881000000.0,22.45%
AAL,2020,17337000000.0,2023,52788000000.0,204.48%
VIV,2020,43126472000.0,2023,52100151000.0,20.81%
ZK,2020,3185065000.0,2023,51672618000.0,1522.34%
NKE,2021,44538000000.0,2023,51217000000.0,15.00%
PAA,2020,23290000000.0,2023,48712000000.0,109.15%
PAGP,2020,23290000000.0,2023,48712000000.0,109.15%
WKC,2020,20358300000.0,2023,47710600000.0,134.35%
