Symbol,Market Cap,Next Earnings Date
AAPL,3516708421632.0,N/A
NVDA,3386857226240.0,N/A
MSFT,3115484446720.0,N/A
GOOG,2039068491776.0,N/A
GOOGL,2037882945536.0,N/A
AMZN,1968344662016.0,N/A
META,1493656272896.0,N/A
AVGO,851493453824.0,N/A
LLY,838440648704.0,N/A
TSLA,700137275392.0,N/A
WMT,645712642048.0,N/A
JPM,624039428096.0,N/A
UNH,561022566400.0,N/A
XOM,551399587840.0,N/A
V,546500444160.0,N/A
ORCL,488454750208.0,N/A
MA,468319666176.0,N/A
HD,412971499520.0,N/A
PG,405653946368.0,N/A
COST,394229514240.0,N/A
JNJ,389322899456.0,N/A
ABBV,345955336192.0,N/A
BAC,325281579008.0,N/A
NFLX,305994629120.0,N/A
KO,303285567488.0,N/A
CRM,278932094976.0,N/A
MRK,278119383040.0,N/A
CVX,275569803264.0,N/A
AMD,267486199808.0,N/A
TMUS,251919482880.0,N/A
PEP,241607442432.0,N/A
TMO,230786695168.0,N/A
ACN,228408623104.0,N/A
LIN,228045881344.0,N/A
ADBE,224347930624.0,N/A
MCD,222412177408.0,N/A
IBM,216856674304.0,N/A
CSCO,216576917504.0,N/A
WFC,211680460800.0,N/A
GE,208979066880.0,N/A
ABT,204020678656.0,N/A
QCOM,198336544768.0,N/A
AXP,196773330944.0,N/A
DHR,196203610112.0,N/A
NOW,194621308928.0,N/A
CAT,191243763712.0,N/A
TXN,190511611904.0,N/A
BX,190025416704.0,N/A
PM,186778124288.0,N/A
VZ,181977546752.0,N/A
MS,181718024192.0,N/A
UBER,178495864832.0,N/A
AMAT,176331767808.0,N/A
AMGN,174427750400.0,N/A
ISRG,173274152960.0,N/A
INTU,172985008128.0,N/A
DIS,172309184512.0,N/A
NEE,170450173952.0,N/A
RTX,165947441152.0,N/A
SPGI,165298421760.0,N/A
GS,165169725440.0,N/A
PFE,164900962304.0,N/A
CMCSA,162528821248.0,N/A
LOW,159392595968.0,N/A
T,152582717440.0,N/A
UNP,149478916096.0,N/A
PGR,147662110720.0,N/A
BLK,146969640960.0,N/A
LMT,145805983744.0,N/A
BKNG,144078487552.0,N/A
HON,141368410112.0,N/A
ETN,137694822400.0,N/A
SYK,137167953920.0,N/A
TJX,130043412480.0,N/A
ANET,130012217344.0,N/A
BSX,128943480832.0,N/A
COP,127156879360.0,N/A
C,126029266944.0,N/A
KKR,125927858176.0,N/A
VRTX,125133012992.0,N/A
SCHW,124157313024.0,N/A
PANW,121745096704.0,N/A
NKE,121536028672.0,N/A
MU,120120885248.0,N/A
ADP,118677364736.0,N/A
ELV,118164463616.0,N/A
ADI,117385830400.0,N/A
CB,116781424640.0,N/A
MDT,115510943744.0,N/A
UPS,115355353088.0,N/A
MMC,112110534656.0,N/A
REGN,111805849600.0,N/A
DE,111639748608.0,N/A
PLD,111627821056.0,N/A
FI,111293399040.0,N/A
KLAC,111153192960.0,N/A
LRCX,111076622336.0,N/A
SBUX,107382030336.0,N/A
BMY,106823696384.0,N/A
GILD,105886400512.0,N/A
AMT,103640817664.0,N/A
HCA,102220529664.0,N/A
INTC,100229439488.0,N/A
SO,98390892544.0,N/A
CI,98331361280.0,N/A
PLTR,97236918272.0,N/A
SHW,96952836096.0,N/A
ICE,94457847808.0,N/A
MDLZ,94213980160.0,N/A
BA,91878850560.0,N/A
TT,91421171712.0,N/A
DELL,90129268736.0,N/A
DUK,88911339520.0,N/A
MCO,87373004800.0,N/A
ZTS,87302930432.0,N/A
WM,85732925440.0,N/A
CTAS,85297741824.0,N/A
ABNB,85244289024.0,N/A
MO,85106253824.0,N/A
CEG,84970102784.0,N/A
CVS,84913651712.0,N/A
SNPS,83790299136.0,N/A
GD,82974711808.0,N/A
PH,82867347456.0,N/A
PYPL,82471354368.0,N/A
CL,82337849344.0,N/A
EQIX,82224267264.0,N/A
CMG,81210163200.0,N/A
APH,81169154048.0,N/A
CME,80733741056.0,N/A
TDG,79237718016.0,N/A
MSI,79010889728.0,N/A
WELL,78951014400.0,N/A
NOC,78167949312.0,N/A
AON,77929054208.0,N/A
ITW,77722484736.0,N/A
CDNS,77255581696.0,N/A
CRWD,76116525056.0,N/A
PNC,75023400960.0,N/A
EOG,74782277632.0,N/A
CARR,74666614784.0,N/A
MMM,74629742592.0,N/A
GEV,74070130688.0,N/A
MAR,73635160064.0,N/A
USB,73593651200.0,N/A
ECL,73029517312.0,N/A
TGT,72832720896.0,N/A
APD,71269416960.0,N/A
FCX,70219350016.0,N/A
